Name,Tags,Server end time,File name,Duration,User Name,n_rnn_layers,Epochs,rnn_dim,n_cnn_layers,n_feats,Batch size,Learning Rate,train_curr_step,imag
128_arranged_bce_dp0.1_w2v_base_us4k_newl4_hk1k_0.1_domain_loss_change_0726_weightadjust,,1722185071326,main.py,68294,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_BCE_hktest_0.01,,1722116322036,main.py,119704,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_newl4_hk1k_0.001_domain_loss_change_0726_weightadjust,,1722104890059,main.py,68548,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_newl4_hk1k_0.001_domain_loss_change_0726_weightadjust,,1722031635820,main.py,69045,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_BCE_hktest_0.1,,1721995402162,main.py,119968,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_2_domain_loss_change_0723_weightadjust,,1721956291872,model_evaluation.py,78,gena0324,4,50,768,4,128,2,1.0E-5,,0
128_arranged_bce_dp0.1_w2v_base_us4k_newl4_hk1k_0.01_domain_loss_change_0725_weightadjust,,1721951197274,main.py,70801,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_test2_w2v2base_hubert_base_l4_hk1k_0.1,,1721875378744,model_evaluation.py,143,gena0324,4,50,768,4,128,2,1.0E-5,,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_3_domain_loss_change_0724_weightadjust,,1721847230319,main.py,67362,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_BCE_hktest_0.001,,1721810353262,main.py,114330,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_2_domain_loss_change_0723_weightadjust,,1721808832722,main.py,66,gena0324,4,50,768,4,128,2,1.0E-5,,0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_2_domain_loss_change_0723_weightadjust,,1721757560870,main.py,66101,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_1_domain_loss_change_0718_weightadjust,,1721672158605,main.py,66469,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_0.1_domain_loss_change_0718_weightadjust,,1721524104308,main.py,66382,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_BCE_hktest_0.01,,1721459248906,main.py,114755,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_0.001_domain_loss_change_0718_weightadjust,,1721452467691,main.py,66325,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_0.01_domain_loss_change_0718_weightadjust,,1721373917611,main.py,66257,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_test2_w2v_base_us4k_hmsi_BCE_hktest_2,,1721330084358,main.py,66812,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_test2_w2v_base_us4k_hmsi_BCE_hktest_0.01,,1721240824209,main.py,68075,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_5_domain_loss_change_0717_dwa,,1721237161612,main.py,47582,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_0.5_domain_loss_change_0715_dwa,,1721187101311,main.py,47038,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_test2_w2v_base_us4k_hmsi_BCE_dropout0.1_0.01,,1721165699047,main.py,71148,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_0.1_domain_loss_change_0715_dwa,,1721134128221,main.py,46960,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_2_domain_loss_change_0715_dwa,,1721063215472,main.py,45999,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_dp0.1_w2v_base_us4k_hk1k_1_domain_loss_change_0712_dwa,,1720799837681,main.py,45733,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
